=============================
=== Running: repository file length ===
AGENTS.md: 582 lines (warn threshold: 500)
CONTRIBUTING.md: 687 lines (warn threshold: 500)
specs/cardinality.md: 512 lines (warn threshold: 500)
src/sage_categories/abstract_categories/diagram_shapes.py: 530 lines (warn threshold: 500)
src/sage_categories/abstract_categories/functor_core.py: 698 lines (warn threshold: 500)
src/sage_categories/abstract_categories/hom_categories.py: 504 lines (warn threshold: 500)
src/sage_categories/abstract_categories/product_presentations.py: 648 lines (warn threshold: 500)
src/sage_categories/abstract_categories/slice_categories.py: 622 lines (warn threshold: 500)
src/sage_categories/category.py: 695 lines (warn threshold: 500)
src/sage_categories/compiler.py: 663 lines (warn threshold: 500)
src/sage_categories/theories/poset_core.py: 669 lines (warn threshold: 500)
src/sage_categories/theories/set_colimits.py: 528 lines (warn threshold: 500)
src/sage_categories/theories/set_constructions.py: 516 lines (warn threshold: 500)
src/sage_categories/theories/set_homs.py: 652 lines (warn threshold: 500)
src/sage_categories/theories/set_subobjects.py: 515 lines (warn threshold: 500)
src/sage_categories/theories/total_orders.py: 504 lines (warn threshold: 500)
tests/test_cat.sage: 597 lines (warn threshold: 500)
